Customer ID,first_purchase_date,last_purchase_date,total_orders,total_spend
12346,2009-12-14 08:34:00,2010-06-28 13:53:00,11,372.86
12347,2010-10-31 14:20:00,2010-12-07 14:57:00,2,1323.32
12349,2010-04-29 13:20:00,2010-10-28 08:23:00,3,2671.14
12352,2010-11-12 10:20:00,2010-11-29 10:07:00,2,343.8
12356,2010-10-11 09:42:00,2010-11-24 12:24:00,3,3562.25
12357,2010-11-16 10:05:00,2010-11-16 14:29:00,2,12079.99
12358,2009-12-08 07:59:00,2010-11-29 10:56:00,3,2719.01
12359,2009-12-05 13:32:00,2010-10-10 11:16:00,6,2563.36
12360,2010-02-22 09:32:00,2010-11-25 11:04:00,5,1590.83
12361,2010-01-26 14:37:00,2010-09-03 15:19:00,3,321.35
12369,2010-03-08 08:09:00,2010-10-22 13:13:00,3,1791.15
12370,2010-02-09 09:41:00,2010-03-25 12:10:00,3,774.62
12371,2010-03-04 18:23:00,2010-10-26 13:37:00,3,2179.42
12373,2010-02-04 12:08:00,2010-03-25 13:49:00,2,763.05
12374,2010-04-30 14:01:00,2010-10-14 13:31:00,3,2246.29
12376,2010-10-18 08:42:00,2010-11-15 12:15:00,2,503.15
12377,2010-04-29 15:34:00,2010-11-23 19:24:00,2,1798.2
12379,2010-06-23 12:49:00,2010-10-13 14:46:00,2,767.98
12380,2010-02-15 12:05:00,2010-08-31 14:54:00,7,6951.49
12388,2010-05-06 12:54:00,2010-09-20 12:41:00,2,1120.45
12389,2010-02-22 10:15:00,2010-11-02 11:52:00,3,1433.33
12391,2010-02-15 10:12:00,2010-09-01 12:38:00,5,2312.53
12393,2010-10-07 13:49:00,2010-11-22 16:10:00,2,816.85
12395,2010-04-16 10:16:00,2010-12-03 16:35:00,4,2048.64
12399,2010-03-05 08:45:00,2010-11-19 08:53:00,3,853.65
12402,2010-02-07 12:41:00,2010-11-12 09:50:00,5,1031.3
12406,2010-01-11 14:04:00,2010-11-05 11:42:00,3,2975.06
12408,2010-07-29 13:27:00,2010-11-19 13:21:00,3,1452.22
12409,2010-05-23 15:21:00,2010-10-15 10:24:00,4,12346.62
12412,2010-06-18 13:22:00,2010-11-02 17:02:00,3,1370.05
12414,2010-09-02 12:22:00,2010-09-02 13:47:00,3,390.0
12415,2010-06-30 08:30:00,2010-11-29 15:07:00,7,19543.84
12417,2009-12-06 10:30:00,2010-10-25 14:27:00,11,3167.81
