Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,165,11,372.86,1,4,2,142,At Risk
12347,3,2,1323.32,4,2,3,423,Recent Customers
12348,74,1,222.15999999999997,2,1,1,211,Potential
12349,43,3,2671.14,3,3,4,334,Loyal Customers
12351,11,1,300.93,4,1,1,411,Recent Customers
12352,11,2,343.8,4,2,2,422,Recent Customers
12353,44,1,317.76,3,1,2,312,Recent Customers
12355,203,1,488.21000000000004,1,1,2,112,Lost
12356,16,3,3562.25,4,3,4,434,Loyal Customers
12357,24,2,12079.99,3,2,4,324,Recent Customers
12358,11,3,2719.01,4,3,4,434,Loyal Customers
12359,61,6,2563.36,2,4,4,244,At Risk
12360,15,5,1590.83,4,3,3,433,Loyal Customers
12361,98,3,321.35,2,3,2,232,At Risk
12362,374,1,130.0,1,1,1,111,Lost
12366,269,1,500.24,1,1,2,112,Lost
12368,264,1,917.7,1,1,3,113,Lost
12369,49,3,1791.15,3,3,4,334,Loyal Customers
12370,260,3,774.62,1,3,3,133,At Risk
12371,45,3,2179.42,3,3,4,334,Loyal Customers
12373,260,2,763.0500000000001,1,2,3,123,Potential
12374,57,3,2246.29,2,3,4,234,At Risk
12376,25,2,503.15,3,2,2,322,Recent Customers
12377,17,2,1798.2,4,2,4,424,Recent Customers
12378,198,1,1407.7,1,1,3,113,Lost
12379,58,2,767.98,2,2,3,223,Potential
12380,101,7,6951.49,2,4,4,244,At Risk
12385,15,1,1938.4,4,1,4,414,Recent Customers
12386,2,1,258.90000000000003,4,1,1,411,Recent Customers
12387,51,1,143.94,3,1,1,311,Recent Customers
12388,81,2,1120.45,2,2,3,223,Potential
12389,38,3,1433.33,3,3,3,333,Loyal Customers
12391,100,5,2312.53,2,3,4,234,At Risk
12392,227,1,234.75000000000003,1,1,1,111,Lost
12393,18,2,816.85,4,2,3,423,Recent Customers
12395,7,4,2048.64,4,3,4,434,Loyal Customers
12396,310,1,931.4300000000001,1,1,3,113,Lost
12399,21,3,853.65,3,3,3,333,Loyal Customers
12400,50,1,205.25,3,1,1,311,Recent Customers
12402,28,5,1031.3,3,3,3,333,Loyal Customers
12403,157,1,591.6600000000001,1,1,2,112,Lost
12404,318,1,63.24,1,1,1,111,Lost
12406,35,3,2975.06,3,3,4,334,Loyal Customers
12408,21,3,1452.22,3,3,3,333,Loyal Customers
12409,56,4,12346.62,2,3,4,234,At Risk
12410,138,1,320.38,1,1,2,112,Lost
12411,45,1,346.9,3,1,2,312,Recent Customers
12412,38,3,1370.05,3,3,3,333,Loyal Customers
12413,38,1,241.35,3,1,1,311,Recent Customers
